Ponto Planejado (mm),,Dose Planejada (cGy),,,,,,
x,y,Simulação 1,Simulação 2,Simulação 3,Simulação 4,Simulação 5,Simulação 6,Simulação 7
-20.5,20.5,49.53,24.37,47.12,24.48,47.36,43.49,43.29
-15.5,20.5,50.79,25.07,48.37,25.31,48.49,44.53,44.43
-18.0,18.0,51.37,25.30,48.90,25.50,49.00,45.01,44.95
-20.5,15.5,50.64,24.90,48.12,25.05,48.29,44.40,44.29
-15.5,15.5,51.96,25.62,49.41,25.93,49.49,45.51,45.48
-11.5,20.5,50.89,25.43,48.47,26.25,48.59,44.63,44.54
-6.5,20.5,50.85,25.84,48.45,33.03,48.58,44.62,44.53
-9.0,18.0,51.77,26.00,49.30,27.80,49.38,45.38,45.34
-11.5,15.5,52.07,26.01,49.52,26.93,49.60,45.62,45.60
-6.5,15.5,52.04,26.46,49.51,33.90,49.58,45.61,45.59
-2.5,20.5,50.86,28.40,48.48,46.75,48.60,44.64,44.55
2.5,20.5,50.86,44.10,48.47,48.07,48.59,44.63,44.54
0.0,18.0,51.75,40.28,49.31,48.60,49.38,45.39,45.36
-2.5,15.5,52.04,29.13,49.53,47.76,49.60,45.63,45.61
2.5,15.5,52.04,45.00,49.52,49.20,49.59,45.62,45.60
6.5,20.5,50.85,48.80,48.45,48.44,48.57,44.61,44.52
11.5,20.5,50.89,48.39,48.47,48.58,48.59,44.63,44.53
9.0,18.0,51.77,49.10,49.29,49.40,49.37,45.37,45.33
6.5,15.5,52.04,49.13,49.50,49.60,49.57,45.61,45.59
11.5,15.5,52.07,49.46,49.52,49.73,49.59,45.62,45.59
15.5,20.5,50.79,48.32,48.37,48.39,48.49,44.53,44.43
20.5,20.5,49.54,47.21,47.12,47.21,47.35,43.48,43.28
18.0,18.0,51.37,48.90,48.89,49.00,48.99,45.02,44.95
15.5,15.5,51.96,49.37,49.41,49.53,49.49,45.52,45.48
20.5,15.5,50.64,48.22,48.11,48.29,48.27,44.39,44.28
-20.5,11.5,50.72,24.93,48.18,25.10,48.46,44.47,44.36
-15.5,11.5,52.06,25.67,49.48,25.99,49.67,45.59,45.57
