TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
242,5071,5054,18,18,15,21
,5071,5047,18,18,16,21
,5071,5037,18,18,17,21
,5071,5021,18,18,18,21
,5071,4996,18,18,19,21
,5071,4957,18,18,20,21
,5071,4895,18,18,21,21
,5071,5112,18,18,15,20
,5071,5105,18,18,16,20
,5071,5095,18,18,17,20
,5071,5078,18,18,18,20
,5071,5053,18,18,19,20
,5071,5014,18,18,20,20
,5071,4951,18,18,21,20
,5071,5148,18,18,15,19
,5071,5141,18,18,16,19
,5071,5131,18,18,17,19
,5071,5114,18,18,18,19
,5071,5088,18,18,19,19
,5071,5048,18,18,20,19
,5071,4985,18,18,21,19
,5071,5172,18,18,15,18
,5071,5165,18,18,16,18
,5071,5154,18,18,17,18
,5071,5137,18,18,18,18
,5071,5111,18,18,19,18
,5071,5071,18,18,20,18
,5071,5008,18,18,21,18
,5071,5187,18,18,15,17
,5071,5180,18,18,16,17
,5071,5169,18,18,17,17
,5071,5152,18,18,18,17
,5071,5126,18,18,19,17
,5071,5085,18,18,20,17
,5071,5021,18,18,21,17
,5071,5197,18,18,15,16
,5071,5190,18,18,16,16
,5071,5179,18,18,17,16
,5071,5162,18,18,18,16
,5071,5135,18,18,19,16
,5071,5094,18,18,20,16
,5071,5030,18,18,21,16
,5071,5203,18,18,15,15
,5071,5196,18,18,16,15
,5071,5185,18,18,17,15
,5071,5168,18,18,18,15
,5071,5141,18,18,19,15
,5071,5100,18,18,20,15
,5071,5036,18,18,21,15
117,5161,5057,9,18,6,21
,5161,5057,9,18,7,21
,5161,5057,9,18,8,21
,5161,5059,9,18,9,21
,5161,5059,9,18,10,21
,5161,5060,9,18,11,21
,5161,5061,9,18,12,21
,5161,5115,9,18,6,20
,5161,5114,9,18,7,20
,5161,5115,9,18,8,20
,5161,5117,9,18,9,20
,5161,5117,9,18,10,20
,5161,5118,9,18,11,20
,5161,5118,9,18,12,20
,5161,5151,9,18,6,19
,5161,5151,9,18,7,19
,5161,5151,9,18,8,19
,5161,5153,9,18,9,19
,5161,5154,9,18,10,19
,5161,5155,9,18,11,19
,5161,5155,9,18,12,19
,5161,5176,9,18,6,18
,5161,5175,9,18,7,18
,5161,5176,9,18,8,18
,5161,5177,9,18,9,18
,5161,5178,9,18,10,18
,5161,5179,9,18,11,18
,5161,5179,9,18,12,18
,5161,5191,9,18,6,17
,5161,5191,9,18,7,17
,5161,5191,9,18,8,17
,5161,5193,9,18,9,17
,5161,5194,9,18,10,17
,5161,5194,9,18,11,17
,5161,5194,9,18,12,17
,5161,5201,9,18,6,16
,5161,5201,9,18,7,16
,5161,5201,9,18,8,16
,5161,5203,9,18,9,16
,5161,5204,9,18,10,16
,5161,5204,9,18,11,16
,5161,5204,9,18,12,16
,5161,5208,9,18,6,15
,5161,5208,9,18,7,15
,5161,5208,9,18,8,15
,5161,5209,9,18,9,15
,5161,5210,9,18,10,15
,5161,5211,9,18,11,15
,5161,5211,9,18,12,15
52,5133,5058,0,18,-3,21
,5133,5058,0,18,-2,21
,5133,5058,0,18,-1,21
,5133,5058,0,18,0,21
,5133,5058,0,18,1,21
,5133,5058,0,18,2,21
,5133,5058,0,18,3,21
,5133,5116,0,18,-3,20
,5133,5116,0,18,-2,20
,5133,5116,0,18,-1,20
,5133,5116,0,18,0,20
,5133,5116,0,18,1,20
,5133,5116,0,18,2,20
,5133,5115,0,18,3,20
,5133,5152,0,18,-3,19
,5133,5152,0,18,-2,19
,5133,5152,0,18,-1,19
,5133,5152,0,18,0,19
,5133,5152,0,18,1,19
,5133,5152,0,18,2,19
,5133,5152,0,18,3,19
,5133,5176,0,18,-3,18
,5133,5176,0,18,-2,18
,5133,5176,0,18,-1,18
,5133,5176,0,18,0,18
,5133,5176,0,18,1,18
,5133,5176,0,18,2,18
,5133,5176,0,18,3,18
,5133,5192,0,18,-3,17
,5133,5192,0,18,-2,17
,5133,5192,0,18,-1,17
,5133,5191,0,18,0,17
,5133,5191,0,18,1,17
,5133,5191,0,18,2,17
,5133,5191,0,18,3,17
,5133,5202,0,18,-3,16
,5133,5202,0,18,-2,16
,5133,5202,0,18,-1,16
,5133,5201,0,18,0,16
,5133,5201,0,18,1,16
,5133,5201,0,18,2,16
,5133,5201,0,18,3,16
,5133,5208,0,18,-3,15
,5133,5208,0,18,-2,15
,5133,5208,0,18,-1,15
,5133,5208,0,18,0,15
,5133,5208,0,18,1,15
,5133,5208,0,18,2,15
,5133,5208,0,18,3,15
201,5121,5061,-9,18,-12,21
,5121,5061,-9,18,-11,21
,5121,5060,-9,18,-10,21
,5121,5059,-9,18,-9,21
,5121,5057,-9,18,-8,21
,5121,5057,-9,18,-7,21
,5121,5057,-9,18,-6,21
,5121,5119,-9,18,-12,20
,5121,5119,-9,18,-11,20
,5121,5118,-9,18,-10,20
,5121,5117,-9,18,-9,20
,5121,5115,-9,18,-8,20
,5121,5115,-9,18,-7,20
,5121,5115,-9,18,-6,20
,5121,5155,-9,18,-12,19
,5121,5155,-9,18,-11,19
,5121,5154,-9,18,-10,19
,5121,5153,-9,18,-9,19
,5121,5152,-9,18,-8,19
,5121,5151,-9,18,-7,19
,5121,5151,-9,18,-6,19
,5121,5179,-9,18,-12,18
,5121,5179,-9,18,-11,18
,5121,5179,-9,18,-10,18
,5121,5177,-9,18,-9,18
,5121,5176,-9,18,-8,18
,5121,5176,-9,18,-7,18
,5121,5176,-9,18,-6,18
,5121,5194,-9,18,-12,17
,5121,5194,-9,18,-11,17
,5121,5194,-9,18,-10,17
,5121,5193,-9,18,-9,17
,5121,5192,-9,18,-8,17
,5121,5191,-9,18,-7,17
,5121,5191,-9,18,-6,17
,5121,5204,-9,18,-12,16
,5121,5204,-9,18,-11,16
,5121,5204,-9,18,-10,16
,5121,5203,-9,18,-9,16
,5121,5202,-9,18,-8,16
,5121,5201,-9,18,-7,16
,5121,5201,-9,18,-6,16
,5121,5211,-9,18,-12,15
,5121,5211,-9,18,-11,15
,5121,5211,-9,18,-10,15
,5121,5210,-9,18,-9,15
,5121,5208,-9,18,-8,15
,5121,5208,-9,18,-7,15
,5121,5208,-9,18,-6,15
238,5080,4894,-18,18,-21,21
,5080,4957,-18,18,-20,21
,5080,4996,-18,18,-19,21
,5080,5022,-18,18,-18,21
,5080,5038,-18,18,-17,21
,5080,5048,-18,18,-16,21
,5080,5054,-18,18,-15,21
