TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
224,4857,4808,18,18,15,21,,,
,4857,4804,18,18,16,21,,,
,4857,4797,18,18,17,21,,,
,4857,4784,18,18,18,21,,,
,4857,4761,18,18,19,21,,,
,4857,4725,18,18,20,21,,,
,4857,4666,18,18,21,21,,,
,4857,4861,18,18,15,20,,,
,4857,4858,18,18,16,20,,,
,4857,4850,18,18,17,20,,,
,4857,4837,18,18,18,20,,,
,4857,4814,18,18,19,20,,,
,4857,4778,18,18,20,20,,,
,4857,4719,18,18,21,20,,,
,4857,4894,18,18,15,19,,,
,4857,4890,18,18,16,19,,,
,4857,4883,18,18,17,19,,,
,4857,4869,18,18,18,19,,,
,4857,4846,18,18,19,19,,,
,4857,4810,18,18,20,19,,,
,4857,4750,18,18,21,19,,,
,4857,4916,18,18,15,18,,,
,4857,4912,18,18,16,18,,,
,4857,4904,18,18,17,18,,,
,4857,4890,18,18,18,18,,,
,4857,4867,18,18,19,18,,,
,4857,4830,18,18,20,18,,,
,4857,4771,18,18,21,18,,,
,4857,4929,18,18,15,17,,,
,4857,4925,18,18,16,17,,,
,4857,4917,18,18,17,17,,,
,4857,4903,18,18,18,17,,,
,4857,4880,18,18,19,17,,,
,4857,4842,18,18,20,17,,,
,4857,4783,18,18,21,17,,,
,4857,4937,18,18,15,16,,,
,4857,4933,18,18,16,16,,,
,4857,4925,18,18,17,16,,,
,4857,4911,18,18,18,16,,,
,4857,4887,18,18,19,16,,,
,4857,4850,18,18,20,16,,,
,4857,4790,18,18,21,16,,,
,4857,4943,18,18,15,15,,,
,4857,4938,18,18,16,15,,,
,4857,4930,18,18,17,15,,,
,4857,4916,18,18,18,15,,,
,4857,4892,18,18,19,15,,,
,4857,4854,18,18,20,15,,,
,4857,4794,18,18,21,15,,,
244,4886,4777,9,18,6,21,,,
,4886,4787,9,18,7,21,,,
,4886,4794,9,18,8,21,,,
,4886,4801,9,18,9,21,,,
,4886,4807,9,18,10,21,,,
,4886,4811,9,18,11,21,,,
,4886,4815,9,18,12,21,,,
,4886,4830,9,18,6,20,,,
,4886,4840,9,18,7,20,,,
,4886,4848,9,18,8,20,,,
,4886,4855,9,18,9,20,,,
,4886,4861,9,18,10,20,,,
,4886,4865,9,18,11,20,,,
,4886,4868,9,18,12,20,,,
,4886,4863,9,18,6,19,,,
,4886,4873,9,18,7,19,,,
,4886,4881,9,18,8,19,,,
,4886,4888,9,18,9,19,,,
,4886,4894,9,18,10,19,,,
,4886,4898,9,18,11,19,,,
,4886,4901,9,18,12,19,,,
,4886,4884,9,18,6,18,,,
,4886,4895,9,18,7,18,,,
,4886,4903,9,18,8,18,,,
,4886,4910,9,18,9,18,,,
,4886,4916,9,18,10,18,,,
,4886,4920,9,18,11,18,,,
,4886,4923,9,18,12,18,,,
,4886,4897,9,18,6,17,,,
,4886,4908,9,18,7,17,,,
,4886,4916,9,18,8,17,,,
,4886,4924,9,18,9,17,,,
,4886,4929,9,18,10,17,,,
,4886,4933,9,18,11,17,,,
