TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
242,50.33,50.79,18.0,18.0,15.5,20.5
,50.33,49.54,18.0,18.0,20.5,20.5
,50.33,51.37,18.0,18.0,18.0,18.0
,50.33,51.96,18.0,18.0,15.5,15.5
,50.33,50.64,18.0,18.0,20.5,15.5
117,51.41,50.85,9.0,18.0,6.5,20.5
,51.41,50.89,9.0,18.0,11.5,20.5
,51.41,51.77,9.0,18.0,9.0,18.0
,51.41,52.04,9.0,18.0,6.5,15.5
,51.41,52.07,9.0,18.0,11.5,15.5
52,51.45,50.86,0.0,18.0,-2.5,20.5
,51.45,50.86,0.0,18.0,2.5,20.5
,51.45,51.75,0.0,18.0,0.0,18.0
,51.45,52.04,0.0,18.0,-2.5,15.5
,51.45,52.04,0.0,18.0,2.5,15.5
201,51.21,50.89,-9.0,18.0,-11.5,20.5
,51.21,50.85,-9.0,18.0,-6.5,20.5
,51.21,51.77,-9.0,18.0,-9.0,18.0
,51.21,52.07,-9.0,18.0,-11.5,15.5
,51.21,52.04,-9.0,18.0,-6.5,15.5
238,50.77,49.53,-18.0,18.0,-20.5,20.5
,50.77,50.79,-18.0,18.0,-15.5,20.5
,50.77,51.37,-18.0,18.0,-18.0,18.0
,50.77,50.64,-18.0,18.0,-20.5,15.5
,50.77,51.96,-18.0,18.0,-15.5,15.5
107,50.99,52.05,18.0,9.0,15.5,11.5
,50.99,50.72,18.0,9.0,20.5,11.5
,50.99,51.71,18.0,9.0,18.0,9.0
,50.99,52.02,18.0,9.0,15.5,6.5
,50.99,50.68,18.0,9.0,20.5,6.5
127,51.74,52.14,9.0,9.0,6.5,11.5
,51.74,52.17,9.0,9.0,11.5,11.5
,51.74,52.15,9.0,9.0,9.0,9.0
,51.74,52.10,9.0,9.0,6.5,6.5
,51.74,52.14,9.0,9.0,11.5,6.5
69,51.89,52.14,0.0,9.0,-2.5,11.5
,51.89,52.14,0.0,9.0,2.5,11.5
,51.89,52.11,0.0,9.0,0.0,9.0
,51.89,52.08,0.0,9.0,-2.5,6.5
,51.89,52.08,0.0,9.0,2.5,6.5
144,51.25,52.17,-9.0,9.0,-11.5,11.5
,51.25,52.15,-9.0,9.0,-6.5,11.5
,51.25,52.15,-9.0,9.0,-9.0,9.0
,51.25,52.14,-9.0,9.0,-11.5,6.5
,51.25,52.10,-9.0,9.0,-6.5,6.5
203,51.17,50.72,-18.0,9.0,-20.5,11.5
,51.17,52.06,-18.0,9.0,-15.5,11.5
,51.17,51.71,-18.0,9.0,-18.0,9.0
,51.17,50.68,-18.0,9.0,-20.5,6.5
,51.17,52.02,-18.0,9.0,-15.5,6.5
200,51.57,52.02,18.0,0.0,15.5,2.5
,51.57,50.69,18.0,0.0,20.5,2.5
,51.57,51.69,18.0,0.0,18.0,0.0
,51.57,52.02,18.0,0.0,15.5,-2.5
,51.57,50.69,18.0,0.0,20.5,-2.5
161,51.48,52.08,9.0,0.0,6.5,2.5
,51.48,52.13,9.0,0.0,11.5,2.5
,51.48,52.11,9.0,0.0,9.0,0.0
,51.48,52.08,9.0,0.0,6.5,-2.5
,51.48,52.13,9.0,0.0,11.5,-2.5
254,51.88,52.03,0.0,0.0,-2.5,2.5
,51.88,52.03,0.0,0.0,2.5,2.5
,51.88,52.00,0.0,0.0,0.0,0.0
,51.88,52.03,0.0,0.0,-2.5,-2.5
,51.88,52.03,0.0,0.0,2.5,-2.5
148,51.62,52.13,-9.0,0.0,-11.5,2.5
,51.62,52.08,-9.0,0.0,-6.5,2.5
,51.62,52.11,-9.0,0.0,-9.0,0.0
,51.62,52.13,-9.0,0.0,-11.5,-2.5
,51.62,52.08,-9.0,0.0,-6.5,-2.5
208,50.75,50.69,-18.0,0.0,-20.5,2.5
,50.75,52.02,-18.0,0.0,-15.5,2.5
,50.75,51.70,-18.0,0.0,-18.0,0.0
,50.75,50.69,-18.0,0.0,-20.5,-2.5
,50.75,52.02,-18.0,0.0,-15.5,-2.5
167,51.08,52.02,18.0,-9.0,15.5,-6.5
,51.08,50.68,18.0,-9.0,20.5,-6.5
,51.08,51.71,18.0,-9.0,18.0,-9.0
,51.08,52.05,18.0,-9.0,15.5,-11.5
,51.08,50.73,18.0,-9.0,20.5,-11.5
133,51.17,52.10,9.0,-9.0,6.5,-6.5
,51.17,52.14,9.0,-9.0,11.5,-6.5
,51.17,52.15,9.0,-9.0,9.0,-9.0
,51.17,52.14,9.0,-9.0,6.5,-11.5
,51.17,52.17,9.0,-9.0,11.5,-11.5
104,51.84,52.08,0.0,-9.0,-2.5,-6.5
,51.84,52.08,0.0,-9.0,2.5,-6.5
,51.84,52.11,0.0,-9.0,0.0,-9.0
,51.84,52.14,0.0,-9.0,-2.5,-11.5
,51.84,52.13,0.0,-9.0,2.5,-11.5
253,51.25,52.14,-9.0,-9.0,-11.5,-6.5
,51.25,52.10,-9.0,-9.0,-6.5,-6.5
,51.25,52.15,-9.0,-9.0,-9.0,-9.0
,51.25,52.17,-9.0,-9.0,-11.5,-11.5
,51.25,52.14,-9.0,-9.0,-6.5,-11.5
123,50.91,50.68,-18.0,-9.0,-20.5,-6.5
,50.91,52.02,-18.0,-9.0,-15.5,-6.5
,50.91,51.71,-18.0,-9.0,-18.0,-9.0
,50.91,50.72,-18.0,-9.0,-20.5,-11.5
,50.91,52.05,-18.0,-9.0,-15.5,-11.5
89,50.47,51.97,18.0,-18.0,15.5,-15.5
,50.47,50.66,18.0,-18.0,20.5,-15.5
,50.47,51.39,18.0,-18.0,18.0,-18.0
,50.47,50.81,18.0,-18.0,15.5,-20.5
,50.47,49.61,18.0,-18.0,20.5,-20.5
78,51.26,52.04,9.0,-18.0,6.5,-15.5
,51.26,52.07,9.0,-18.0,11.5,-15.5
,51.26,51.77,9.0,-18.0,9.0,-18.0
,51.26,50.86,9.0,-18.0,6.5,-20.5
,51.26,50.90,9.0,-18.0,11.5,-20.5
57,51.55,52.04,0.0,-18.0,-2.5,-15.5
,51.55,52.04,0.0,-18.0,2.5,-15.5
,51.55,51.76,0.0,-18.0,0.0,-18.0
,51.55,50.87,0.0,-18.0,-2.5,-20.5
,51.55,50.87,0.0,-18.0,2.5,-20.5
213,50.84,52.07,-9.0,-18.0,-11.5,-15.5
,50.84,52.04,-9.0,-18.0,-6.5,-15.5
,50.84,51.77,-9.0,-18.0,-9.0,-18.0
,50.84,50.90,-9.0,-18.0,-11.5,-20.5
,50.84,50.86,-9.0,-18.0,-6.5,-20.5
105,51.05,50.65,-18.0,-18.0,-20.5,-15.5
,51.05,51.96,-18.0,-18.0,-15.5,-15.5
,51.05,51.38,-18.0,-18.0,-18.0,-18.0
,51.05,49.58,-18.0,-18.0,-20.5,-20.5
,51.05,50.80,-18.0,-18.0,-15.5,-20.5
224,48.66,48.32,18.0,18.0,15.5,20.5
,48.66,47.21,18.0,18.0,20.5,20.5
,48.66,48.90,18.0,18.0,18.0,18.0
,48.66,49.37,18.0,18.0,15.5,15.5
,48.66,48.22,18.0,18.0,20.5,15.5
244,48.91,48.80,9.0,18.0,6.5,20.5
,48.91,48.39,9.0,18.0,11.5,20.5
,48.91,49.10,9.0,18.0,9.0,18.0
,48.91,49.13,9.0,18.0,6.5,15.5
,48.91,49.46,9.0,18.0,11.5,15.5
218,38.63,28.40,0.0,18.0,-2.5,20.5
,38.63,44.10,0.0,18.0,2.5,20.5
,38.63,40.28,0.0,18.0,0.0,18.0
,38.63,29.13,0.0,18.0,-2.5,15.5
,38.63,45.00,0.0,18.0,2.5,15.5
53,25.83,25.43,-9.0,18.0,-11.5,20.5
,25.83,25.84,-9.0,18.0,-6.5,20.5
,25.83,26.00,-9.0,18.0,-9.0,18.0
,25.83,26.01,-9.0,18.0,-11.5,15.5
,25.83,26.46,-9.0,18.0,-6.5,15.5
115,25.22,24.37,-18.0,18.0,-20.5,20.5
,25.22,25.07,-18.0,18.0,-15.5,20.5
,25.22,25.30,-18.0,18.0,-18.0,18.0
